tick,score,bits
39346,6.0,1010001110000111
39347,8.0,0011110100100111
39348,8.0,1011001100001100
39349,8.0,1010010011111100
39350,10.0,0101101101010000
39351,8.0,1100001010010011
39352,10.0,0001000100100101
39353,8.0,1100100011101110
39354,10.0,0001010001101101
39355,6.0,1011110000001001
39356,6.0,1001110100000011
39357,6.0,0011011110111000
39358,6.0,0001110011100011
39359,8.0,1000001000110100
39360,8.0,1011011000010001
39361,10.0,1011010000010101
39362,6.0,1111110110111101
39363,10.0,0010100001010010
39364,8.0,1010010101111111
39365,10.0,1101101110110010
39366,6.0,1100111001100000
39367,6.0,0001000111110010
39368,10.0,1010100001101000
39369,8.0,0001000001010001
39370,8.0,0110001100110011
39371,6.0,0101000000000010
39372,6.0,1111100011011000
39373,10.0,1010100110001110
39374,10.0,1110110100100010
39375,12.0,1101101011011010
39376,6.0,0000100110011110
39377,8.0,0110001011101000
39378,6.0,1001110000110111
39379,10.0,0101001010001111
39380,8.0,0011110110001101
39381,6.0,0011110010001000
39382,10.0,0101000101000110
39383,10.0,0101110101111010
39384,10.0,1011110100110100
39385,6.0,0000100100000001
39386,6.0,0001100000001001
39387,8.0,1011010011100001
39388,8.0,1100101011000000
39389,4.0,0011111100100000
39390,8.0,0110000001011011
39391,8.0,1100001011100110
39392,6.0,0001100011001110
39393,8.0,1100000010010110
39394,10.0,0011001010001011
39395,8.0,0101000110000010
39396,8.0,0010011100100010
39397,10.0,0101101110110001
39398,6.0,0100010000111100
39399,6.0,1110100000110000
39400,6.0,0000000010011001
39401,8.0,0011011101110111
39402,6.0,1000000011011101
39403,6.0,1000111100001000
39404,10.0,1111010101000010
39405,10.0,1010001110011010
39406,10.0,1001001010110011
39407,6.0,0000011101101100
39408,8.0,0100010000010010
39409,8.0,0010111000101110
39410,10.0,0011101101010011
39411,8.0,1000011101001101
39412,8.0,1001100111101101
39413,10.0,0110000010010101
39414,8.0,1110011101001011
39415,10.0,1101010110000110
39416,10.0,1010001011101101
39417,6.0,1110001001110111
