tick,score,bits
303,8.0,0011001100000101
304,8.0,1101101001110001
305,8.0,1011001001000001
306,8.0,0100000110010001
307,8.0,1111001011001110
308,6.0,0011000101100000
309,10.0,0001000101010111
310,8.0,1101110010011011
311,8.0,0110000100011101
312,12.0,1011101001010100
313,6.0,1000010111000111
314,6.0,0010011100110000
315,10.0,0001010101001000
316,6.0,1000011011100000
317,8.0,0110011000110011
318,10.0,0101100010111101
319,8.0,1000101000011000
320,4.0,1110000111100111
321,8.0,1001011000000101
322,6.0,1111111110010110
323,6.0,1000000001001000
324,10.0,0100000010101011
325,6.0,1011111011111110
326,8.0,1011001101100011
327,8.0,1100010011110010
328,8.0,1101010000110011
329,10.0,0110110101110100
330,8.0,0010011000010100
331,8.0,0111100010011010
332,10.0,0010100010110110
333,8.0,1101010111110000
334,10.0,0001000100101011
335,6.0,0000111110010111
336,8.0,1001101101100001
337,10.0,0001000110101010
338,6.0,1011100000110000
339,8.0,1100010011101000
340,6.0,1111110110100011
341,8.0,1110100100100000
342,8.0,1001110011111010
343,10.0,1010011100110100
344,8.0,1101110100111101
345,10.0,0011010000101001
346,8.0,1111001100100100
347,8.0,1111000100110100
348,6.0,1110000001011100
349,6.0,0001101101111100
350,12.0,0001010101011001
351,8.0,0011011000110111
352,8.0,1011110101111011
353,4.0,1001000111111111
354,8.0,1010000101111100
355,6.0,1000111011101111
356,10.0,0110010111001010
357,10.0,1011001000010010
