tick,score,bits
457,6.0,1010000000010001
458,8.0,1101010011111000
459,6.0,0101011100000000
460,8.0,0111011101110001
461,8.0,0011100100001001
462,4.0,1100111111100111
463,8.0,1101011100111001
464,6.0,0000001100110110
465,6.0,0010000101111000
466,10.0,1101000100100010
467,6.0,1001111000010111
468,4.0,1111100000110001
469,8.0,1001110100111101
470,8.0,0110001100110011
471,6.0,0111001111100001
472,6.0,1100110011110001
473,6.0,0011110000100011
474,6.0,1001101100111111
475,10.0,0110101001000100
476,4.0,1000001110001111
477,6.0,1011100000100001
478,8.0,0100100110000100
479,6.0,1011110111100011
480,6.0,1110100011001111
481,8.0,1000001010101111
482,6.0,1110110100000011
483,10.0,1000101010110011
484,8.0,0111001011111101
485,8.0,1110110110100011
486,8.0,0100101110111000
487,6.0,1100000110001011
488,6.0,0011010111111000
489,10.0,0101111010111011
490,10.0,0010111100101011
491,8.0,0010100001000111
492,6.0,0000000110101000
493,10.0,0010010010100111
494,8.0,0101011111000111
495,6.0,0110000000001011
496,6.0,0111101110100000
497,4.0,0111100011111110
498,4.0,0000001111110011
499,6.0,1000001100010111
500,10.0,0110100001001101
501,6.0,1000000010110001
502,8.0,1101111000010100
503,8.0,1000111010100111
504,10.0,1100101011001100
505,6.0,0000010000010110
506,8.0,0110011101111001
507,8.0,0110111011101111
508,6.0,0000000110100010
509,6.0,1110001110010111
510,12.0,1101010100101001
511,8.0,1111000011010100
512,8.0,0010110000111001
513,12.0,0110100101010001
514,8.0,0000010001010011
515,8.0,1111101001011100
516,10.0,1100100100101000
517,8.0,0110100001011100
518,8.0,0011101101100011
519,8.0,0110111101000011
520,10.0,0101011100111011
521,6.0,0111111001000111
522,8.0,0100001110100010
523,4.0,1111000011100111
524,8.0,1110110000101000
525,8.0,0110011101000011
526,10.0,0010111011110101
527,8.0,1010000110100011
528,6.0,1111111000111010
529,10.0,0000100101010001
530,8.0,1110010001010111
531,12.0,0101001001100101
532,10.0,1001110101100010
533,8.0,0001001110011001
534,6.0,1101110000000101
535,6.0,1110110000011000
536,8.0,0100001100101100
537,8.0,0011000011101010
538,8.0,0011010111011110
539,6.0,1110011011111001
540,10.0,0010000101100101
541,6.0,1110100011000011
542,8.0,0110001000110110
543,10.0,1010100010011101
544,10.0,0001011010110001
545,8.0,0110000001101001
546,8.0,1111110101100100
547,8.0,0011000101110100
548,10.0,1000100101011011
549,8.0,0110110111100011
550,6.0,1111110100110000
551,6.0,1011000000111011
552,10.0,1001011101010011
553,10.0,0110001001010010
554,8.0,0010111001011111
555,8.0,0001001110101100
556,6.0,0111000100001000
557,8.0,0101001100000100
558,6.0,0111010000001110
559,8.0,0011000110101000
560,8.0,0010011111010100
561,8.0,1101101111011110
562,6.0,0111000001000110
563,12.0,1010101111010100
564,8.0,0100110000010110
565,8.0,0011011010000010
566,8.0,0100000001100101
567,10.0,1001001011101001
568,10.0,1010100100001101
569,6.0,0110111000000110
570,6.0,1011101100111111
571,8.0,1011111100100010
572,8.0,0110000011101001
573,6.0,1110011101100000
574,12.0,1011011001010010
575,8.0,0111100110101100
576,12.0,1101001011001010
577,8.0,1110100110001000
578,12.0,1011101101010010
579,8.0,0101100000010110
580,10.0,1101101100101011
581,6.0,1011001111110000
582,12.0,1010110101011000
583,6.0,0110110010000000
584,6.0,0110000100010000
585,10.0,1100101011100100
586,10.0,1010000101001011
587,6.0,0011101111010000
588,8.0,1110101000001110
589,10.0,0010001000101010
590,10.0,1000111110101010
591,8.0,1100100001100010
592,10.0,1010001001100100
593,8.0,1000100110000100
594,10.0,1000010111011010
595,8.0,1100001000010110
596,6.0,1000000001100100
597,8.0,0100001011000011
598,10.0,1010111101100110
599,6.0,1001110100000011
600,4.0,0001000000010000
601,8.0,0100010000100100
602,8.0,0011100001010111
603,8.0,0011011011010000
604,6.0,0011110000001101
