tick,score,bits
274,10.0,0011100101001010
275,4.0,0111100001111100
276,10.0,0011001010100100
277,6.0,1000000100000100
278,6.0,0100111000001110
279,10.0,0110110111010110
280,12.0,0100101101000101
281,8.0,0100000010011101
282,8.0,1011110000110010
283,6.0,1010000000011110
284,10.0,0101111010100010
285,8.0,1101000110011011
286,8.0,1101110010111101
287,10.0,0011011011010001
288,8.0,1101110010011101
289,8.0,1001001110010011
290,6.0,1101101111101111
291,10.0,0100010110011101
292,6.0,0111110010111000
293,8.0,0011000100010110
294,4.0,0000000011100011
295,6.0,1101011100000011
296,8.0,1100101000000010
297,14.0,1010101010010100
298,8.0,1010110001000111
299,10.0,0110010001011101
300,12.0,0010011010101011
301,6.0,0111001100000010
302,6.0,0001110100001110
303,8.0,0100101101000000
304,8.0,0100010000010001
305,4.0,1111110000010111
306,6.0,0011101100010000
307,12.0,1000101001010100
308,6.0,0000011001110110
309,8.0,1011111011100101
310,10.0,0101011111010100
311,6.0,0111111110110110
312,10.0,1010011010001101
313,8.0,1000010110000010
314,6.0,1001000000001001
315,8.0,1011011101110000
316,8.0,0010010000110100
317,6.0,0111000111110010
318,10.0,0101000101110011
319,8.0,0110100011001110
320,6.0,0100011000001110
321,8.0,0001100100011010
322,6.0,1110110000110111
323,10.0,0101110001001001
324,8.0,0110111000010001
325,6.0,0100001100111100
326,8.0,0011110010010001
327,8.0,1000011001001001
328,6.0,1100000010110011
