tick,score,bits
120,6.0,1110000010100000
121,10.0,0111010101110110
122,6.0,1001111100010000
123,8.0,0110000101100001
124,8.0,0010110011111011
125,10.0,1101001011010001
126,10.0,1101101011010000
127,8.0,1000001101000101
128,8.0,0000111011011101
129,6.0,0000100111100111
130,8.0,0001101111101101
131,8.0,1001000001010011
132,4.0,1111110110001111
133,8.0,1101101111111010
134,8.0,1001010111001111
135,4.0,0111111000010000
136,6.0,1111100110001000
137,6.0,0100011000111000
138,10.0,1000010010010010
139,4.0,0111000000111100
140,8.0,0110100000011011
141,4.0,1100001111100011
142,12.0,0010101101010011
143,8.0,0011001011100010
144,8.0,1111010001000110
145,8.0,0001000100011010
146,10.0,1010001110010010
147,8.0,0000110101001110
148,10.0,0101101010001110
149,8.0,1011011101100001
150,8.0,0011101101101110
151,6.0,0111100000110111
152,10.0,0110100100111001
153,4.0,1111110001110000
154,6.0,1110100011101111
155,8.0,1011000010111011
156,8.0,1011111101100110
157,8.0,1100110110100000
158,6.0,0100001111110001
159,4.0,1111000100000000
160,8.0,1001111100100010
161,10.0,1101010000110110
162,8.0,0101101110011110
163,6.0,0000000010110010
164,6.0,0111101100001100
165,10.0,0101001001011111
166,6.0,0000011110100011
167,4.0,0110000000111111
168,12.0,0100010010101101
169,2.0,1111110000011111
170,8.0,0100010010011111
171,12.0,0101101010001011
172,10.0,0111001101010011
173,6.0,0011000001110010
174,8.0,0101000110011110
175,6.0,1100011000000100
176,10.0,1000110101000100
177,8.0,1011000001010001
178,8.0,0101000111111010
179,10.0,1001011011110010
180,8.0,0001010000110001
181,6.0,1000011101100001
182,8.0,1001010111100011
183,8.0,0010111110010010
184,8.0,1010001110110000
185,6.0,0010011000000100
186,12.0,0101001101101101
187,8.0,1001110100001011
188,10.0,1010011100101100
189,8.0,1011101010000000
190,8.0,0000101111010100
191,8.0,0110010001101100
192,6.0,1100110001111001
193,10.0,0100010010001010
194,8.0,0001010111101000
195,8.0,0010100011011000
196,8.0,1011011001111001
197,8.0,0010010000011011
198,8.0,0010111111010001
199,8.0,0101110010000110
200,10.0,1100111001011010
201,8.0,0001010011011111
202,8.0,0001100010000101
203,10.0,0110010001001011
204,8.0,0010001001011100
205,6.0,0000100000001010
206,6.0,1001000000100001
207,6.0,0001110110011000
208,6.0,1100001101110011
209,10.0,1110001010010110
210,10.0,1010010010010001
211,8.0,0101111100100100
212,8.0,0101001100111110
213,8.0,0001001011000100
214,8.0,0010011110001101
215,4.0,0010111110000000
216,8.0,0100000101000011
217,8.0,0001010001101000
218,8.0,1000011011010111
219,12.0,0010101110101001
220,10.0,0110110001010111
221,6.0,0000010001100100
222,8.0,0010010111001000
223,8.0,0110001000100111
224,6.0,0011100011100001
225,4.0,1000001110000001
226,8.0,0010000100001010
227,8.0,0111111010001101
228,10.0,0110100110001011
229,8.0,0010001100110100
230,10.0,0100011001001101
231,10.0,1011000101110101
232,8.0,0010111001001000
233,12.0,1101010110100101
234,8.0,1000001000101011
235,8.0,0001101101110001
236,6.0,0001100111000011
237,10.0,0011000101010111
238,6.0,0111100001001110
239,2.0,0000000111111110
240,6.0,1110010011100001
241,4.0,1111110111110011
242,8.0,1111010110011101
243,8.0,0101001110010000
244,8.0,1111011010111011
245,6.0,0111001100111000
246,4.0,0111111001100000
247,8.0,0110010111001111
248,10.0,0100101101001000
249,6.0,0000101001110000
250,8.0,1101011101111011
251,6.0,1100010000001110
252,6.0,0001011000001110
253,6.0,0111100011010000
254,10.0,1100101000101000
255,10.0,1011110010110010
256,8.0,1011011000001001
257,10.0,1101010001101100
258,6.0,0100011100011110
259,4.0,1110001000001111
260,10.0,0100010100111011
261,4.0,0010000001100000
262,10.0,1001101001001100
263,14.0,0101011010101011
264,8.0,0001000010111001
265,12.0,0101010001010001
266,10.0,1110101010011001
267,10.0,1111010000101010
268,10.0,0100110001101001
269,10.0,1111011110101010
270,6.0,0000010110011110
271,8.0,0010101111101111
272,8.0,0100011011000110
273,10.0,0101000011010010
274,8.0,0010100000110111
275,14.0,1010100101101010
276,6.0,1000000110010000
277,6.0,0001000001000011
278,6.0,1010111100000000
279,8.0,0100101110000010
280,8.0,0011010100000110
281,10.0,1010011000100010
282,6.0,0011111010100000
283,10.0,1101001001011110
284,4.0,1000111000000011
285,8.0,0010110011101100
286,10.0,0101000101101000
287,12.0,0010010101011101
288,8.0,0110011100100100
289,8.0,1100000010100100
290,4.0,0011111101100000
291,10.0,1001110110100010
292,8.0,0010100011100111
293,8.0,1100011010011110
294,8.0,1001010111111100
295,8.0,1000011101000101
296,8.0,1100010000110010
297,10.0,0110010010110011
298,6.0,1000000100110001
299,10.0,1100101001110010
300,8.0,0010001010100000
301,8.0,1101000101110111
302,10.0,1110010010101011
303,4.0,1110001111011111
304,4.0,0001111111110011
305,6.0,0001100111000010
306,4.0,1110111111100111
307,6.0,1111010110000001
308,10.0,0111001100100101
309,4.0,1110000001000011
310,6.0,1111011111010011
311,6.0,0100011111000011
312,8.0,0001000100001001
313,8.0,0101111010011000
314,8.0,1100000001010101
315,8.0,0011100010101111
316,10.0,0110101011101100
317,8.0,0100110001110001
318,10.0,0010011000101001
319,10.0,1000100011001010
320,8.0,0010100011111010
321,6.0,0000001101101100
322,6.0,1100100000000101
323,10.0,1001101000110101
324,6.0,1000000010111000
325,10.0,1010100001110101
326,8.0,0111000110010011
327,8.0,1011010111000111
328,10.0,1110100110101100
329,10.0,1101010111100101
330,8.0,1000010110000101
331,6.0,0111111000101111
332,10.0,1101000101101100
333,6.0,1100111000000101
334,8.0,0001000101001111
335,6.0,0011011101111110
336,10.0,0000110011010101
337,6.0,0001110101111111
338,10.0,0101001100010010
339,8.0,0110001110001001
340,10.0,0001010010001010
341,8.0,0010101001000000
342,10.0,0011011001010011
343,8.0,1101001010000011
344,8.0,0100100000101110
345,8.0,1001110111011000
346,8.0,0000111010100011
347,8.0,0100100111000110
348,8.0,1000000101101000
349,8.0,0100111000001010
350,10.0,0101110110010111
351,8.0,1110110001101000
352,10.0,1010111101100100
353,8.0,0100111100010001
354,8.0,0011101101100110
355,4.0,0000001111001111
356,6.0,1110100011011111
357,8.0,0010110101111100
358,6.0,1011111100110001
359,8.0,1001001110000100
360,6.0,0100110011000000
361,10.0,1011011010100001
362,8.0,0010010100111100
