tick,score,bits
28,8.0,1100101110001101
29,12.0,1001010100010110
30,10.0,1000101111010110
31,6.0,0000111101111010
32,8.0,0101000100111110
33,8.0,0011000010110110
34,8.0,0001101100110100
35,8.0,1111001001100010
36,10.0,1010001011011101
37,8.0,1110011001010111
38,6.0,0001101011100000
39,4.0,1110000000011110
40,6.0,1111100011010111
41,6.0,1111011100111011
42,10.0,1011011110101101
43,8.0,1000010110011011
44,10.0,1110101000100100
45,8.0,1110001000110101
46,8.0,1111010111101100
47,8.0,1100000101011110
48,6.0,0110011000000111
49,12.0,1011100101101010
50,8.0,0000101001101110
51,10.0,0010010110010110
52,6.0,1000000010100001
53,8.0,1000100001000101
54,12.0,0101010100010110
55,8.0,1011000111111010
56,12.0,1010101010010011
57,2.0,0000001111110000
58,10.0,0100000001010101
59,8.0,1001111111011010
60,6.0,0100001100000001
61,6.0,1111011100011000
62,10.0,0110010101111001
63,6.0,0010010001111111
64,10.0,0111010001110101
65,4.0,0011111000000100
66,6.0,1001111000100000
67,8.0,0001100110101111
68,14.0,1011010101010110
69,8.0,1000101001100001
70,6.0,1100011000100111
71,8.0,1100011101110101
72,6.0,0010001111101000
73,4.0,0100001100000000
74,8.0,0000100101100100
75,10.0,1101010110100000
76,8.0,0100001001011111
77,6.0,0101011111111110
78,6.0,0110100000100000
79,8.0,1110010010001000
80,10.0,1001011100001010
81,4.0,1110001111111000
82,4.0,0000000100000010
83,10.0,1000101101000100
84,8.0,0101101001000000
85,8.0,0000010010111101
86,8.0,0111001010011000
87,6.0,1100011010000111
88,10.0,0011001011000101
89,10.0,1110010011010101
90,6.0,0010000111100110
91,6.0,1011101100000011
92,10.0,0110101100110011
93,8.0,0111001111101010
94,10.0,1001011000100101
95,6.0,1011110001110000
96,6.0,1110101111110000
97,8.0,1110110000010010
98,4.0,1010000000000000
99,10.0,1101100010010110
100,8.0,0110000111011001
101,8.0,1100010111000101
102,4.0,0011111011100000
103,8.0,1111100100010010
104,8.0,1001100000110100
105,4.0,0000111110000001
106,8.0,0110111000010011
107,8.0,0111101011011000
108,10.0,1011101000110101
109,8.0,0011010000011001
110,6.0,1100001110001000
111,8.0,0010111000101111
112,6.0,1011111000010000
113,6.0,1010111100000011
114,6.0,0010000111011000
115,8.0,1000010111010111
116,8.0,0111011110101000
117,6.0,1110000100010111
118,4.0,1100000001100001
119,8.0,0110101100011110
120,8.0,1100110111100100
121,10.0,1010001000101110
122,6.0,1000000110111000
123,4.0,1100000000110011
124,6.0,1101011110000001
125,12.0,1010101100010101
126,8.0,0000110101100010
127,4.0,0111000011100000
128,6.0,1010000011100111
129,6.0,0000111101101110
130,6.0,1001100000001110
131,6.0,0101111001110000
132,8.0,1111001100110100
133,6.0,0111000111100001
134,8.0,0111101101110001
135,6.0,1110011010001111
136,6.0,0011010000111111
137,8.0,1000110111101001
138,10.0,0110110000010101
139,8.0,0011000010111010
140,8.0,1101001011001111
141,6.0,1000011100000110
142,8.0,1011100010111000
143,8.0,1101000111110010
144,8.0,0111000010111011
145,10.0,0011011110101011
146,8.0,1010001101110011
147,10.0,1001011111010110
148,6.0,0001110000100001
149,8.0,1111001010011001
150,8.0,1000101110110001
151,8.0,0101011111110111
152,10.0,0100111010011101
153,10.0,1110101010010001
