tick,score,bits
98,8.0,0111011011011111
99,10.0,0110011010100010
100,8.0,1000001010111011
101,8.0,1001001001000011
102,10.0,0010111101010100
103,6.0,1100000001101101
104,6.0,0110000011100010
105,4.0,1111111010011111
106,10.0,0010100001011101
107,6.0,1100100000111001
108,8.0,0000100001101010
109,8.0,0111011000011010
110,8.0,0100010000010111
111,12.0,0011010101001001
112,8.0,1010111110100111
113,6.0,0111000000111010
114,6.0,1100010000011101
115,10.0,0101111110101010
116,8.0,1001110010100001
117,10.0,1011010000010100
118,10.0,1011100101111010
119,8.0,1100100010111100
120,6.0,1110011000100001
121,6.0,0000011101101100
122,8.0,0010110010111100
123,8.0,0010010011101000
124,8.0,1101001100011110
125,10.0,1010111000100100
126,10.0,1010101000001000
127,8.0,0010101110001111
128,4.0,1111111001100001
129,10.0,1001001010101111
130,8.0,0001111011010010
131,10.0,1100011001010100
132,6.0,0001101111110011
133,10.0,0010000100110101
134,6.0,0110000111001000
135,6.0,0000110011001110
136,6.0,0000111011101111
137,8.0,0001011001101100
138,6.0,0111000001101100
139,8.0,1001001100000010
140,8.0,0111010100000010
141,6.0,0010000110111000
142,10.0,1101100110101000
143,10.0,1000010110010101
144,12.0,0100110010101010
145,8.0,1000001010111011
146,4.0,0001001111110000
147,6.0,0001110000111010
148,12.0,0010100110101101
149,10.0,1010011100010110
150,10.0,0110011001010001
151,8.0,0010011100101110
152,12.0,1010001110101010
153,8.0,0011101000100100
154,12.0,1010011010010110
155,4.0,1110010000000001
156,8.0,0100011000010010
157,8.0,1000011101011011
158,8.0,1011000110000100
159,10.0,1001000110001010
160,8.0,1010011111100101
161,6.0,0010000011001100
162,8.0,0010101101110000
163,8.0,0111001110111101
164,6.0,1000100000101111
165,6.0,0001110101111111
166,4.0,0111110111000000
167,10.0,1010010010110000
168,6.0,1110111001100000
169,12.0,1010010100011010
170,14.0,0101010010100101
171,8.0,1111100010110110
172,8.0,0000001010100111
173,12.0,1101010100011010
174,8.0,0110110001110001
175,10.0,0100111101110101
176,8.0,1011111011101000
177,8.0,0111100101100110
178,8.0,1110010010110000
179,10.0,1000101100001010
180,6.0,0010100000001000
181,10.0,1111001101001010
182,6.0,1000100001110000
183,12.0,1011011100101010
184,8.0,0001101101011110
185,8.0,1000110010001011
186,6.0,1110111111110110
187,8.0,1110110100100000
188,12.0,1010101011010011
189,10.0,1010101110111100
190,6.0,0000001100010001
191,8.0,0001100100100010
192,8.0,0010000010110010
193,6.0,0011101000001000
194,10.0,0111101101101011
195,6.0,0111011000000010
196,8.0,1100001010100111
197,8.0,0100000101100111
198,10.0,0100101010000111
199,6.0,0000111000110100
200,6.0,0100000011110001
201,6.0,0110000111100100
202,8.0,0001101100100001
203,12.0,1010110010011010
204,12.0,1001010110100010
205,6.0,1111100110001110
206,10.0,0101001000001011
207,6.0,1110110000100111
208,10.0,1010111001001000
209,10.0,0010100010110111
210,6.0,0011100000111101
211,10.0,0010111010101110
212,8.0,0111101100100111
213,6.0,0001110010000010
214,6.0,1110001110010011
215,8.0,0001001110100110
216,6.0,1100110000111001
217,10.0,0110000101110101
218,10.0,1011110100101001
219,10.0,1000000101010110
220,10.0,1000101011011100
221,8.0,1000011000010101
222,10.0,0011011100101001
223,8.0,0011110111101011
224,10.0,0000011010010101
225,8.0,1111001010110111
226,4.0,1110000001111110
227,10.0,1001011111010101
228,6.0,0100011000001110
229,10.0,0110101001000110
230,8.0,0011011010011000
231,8.0,0101111001101100
232,8.0,1001101110111000
233,8.0,1100011100100101
234,8.0,1111110000101010
235,6.0,0111100011101111
236,6.0,0010100001000000
237,12.0,0001010101011001
238,4.0,1001111111110000
239,6.0,1111110110001011
240,8.0,0010010000110110
241,8.0,0001000010010111
242,6.0,0010110000010000
243,4.0,1110000000011101
244,10.0,1011001001010111
245,10.0,0101111100101101
246,8.0,1111010111011110
247,10.0,1010010111010011
248,6.0,1100010111110111
249,6.0,1010000001000001
250,8.0,1110011000101000
251,10.0,1100001000101010
252,4.0,1000011110000000
253,4.0,0011100000001110
254,8.0,0011000100001101
255,8.0,0100100101000000
256,8.0,0110011111001010
257,6.0,0011101110100000
258,12.0,1010100101101100
259,10.0,0101001000001001
260,8.0,0110011001010000
261,8.0,0101111011101111
262,2.0,0000000000110000
263,6.0,0001010001000000
264,8.0,1101011101100000
265,12.0,1001001010110010
266,6.0,0011111010000001
267,10.0,1100100111010110
268,8.0,1111010011001110
269,8.0,0010000110110111
270,10.0,1110010011101010
271,4.0,0000001111001110
272,10.0,0101000011011011
273,10.0,0101001000100111
274,6.0,0110010000000111
275,8.0,1000000110101100
276,10.0,0111101010100001
277,6.0,1111110010100000
278,8.0,1010100001100111
279,6.0,1110010111110111
280,8.0,0010110010001110
281,8.0,0011111010111010
282,6.0,0111111101110100
283,8.0,0011110100001101
284,10.0,0110100001011001
285,8.0,0001001001001000
286,6.0,1101110111110111
287,10.0,0010101101110110
288,8.0,0011111000101010
289,8.0,0010000101001110
290,8.0,0001110110101111
291,10.0,0101001011011000
292,8.0,0010000010011001
293,4.0,1110010000111111
294,8.0,0111001101010000
295,8.0,0001110101101000
296,8.0,1010111110010111
297,8.0,1100010101111000
298,8.0,0010101100000010
299,10.0,0101111101101011
300,8.0,1111011101000010
301,8.0,0010111111000101
302,6.0,1100011111101011
303,10.0,1001110111010101
304,10.0,1010111101100010
305,10.0,1011101011100100
306,8.0,1010000011001001
307,8.0,1011110010001011
308,6.0,1101111000010001
309,6.0,1000010000011000
310,6.0,1001111001011111
311,10.0,1110100001010100
312,6.0,1001100001000111
313,10.0,0010101001101110
314,8.0,1011000010001011
315,8.0,1101000000100010
316,8.0,0111011100010111
317,6.0,0000111011110010
318,8.0,0100100101111111
319,12.0,1001010100101001
320,8.0,1001011111100100
321,6.0,1100000100110111
322,8.0,0011011011100111
323,6.0,0111000011100011
324,8.0,1101111001010000
325,10.0,1010101000100011
326,8.0,1011011011110000
327,8.0,1110001001000101
328,8.0,0000111101011001
329,8.0,0011010100000010
330,6.0,1111110001101000
331,8.0,0001010001100011
332,8.0,1000000101001001
333,6.0,0001110010011110
334,8.0,1001110011011110
335,8.0,1110000110010100
336,8.0,0010011001000011
337,8.0,0100001001000110
338,6.0,1100011100000110
339,8.0,0011001000110110
340,8.0,1110010000110110
341,6.0,0000011101100111
342,8.0,0100011010111111
343,8.0,1011110110111001
344,8.0,0100010110000111
345,6.0,1111111111010100
346,8.0,1100111101011011
347,10.0,0110101101110110
348,8.0,1000010111101101
349,10.0,1001000101000110
350,8.0,0100001110001010
351,8.0,1000111001011101
352,8.0,1011101110001001
353,10.0,1101101000101100
354,12.0,1011001101010101
355,10.0,0011011010100001
356,8.0,0100111110110100
357,8.0,1101111011110100
358,8.0,1010110011111000
359,8.0,1101110100111100
360,4.0,1000111100001111
361,6.0,1010000000111101
362,10.0,0000010110101011
363,10.0,0001110101101101
364,6.0,1000001100001001
365,8.0,0101111110100011
366,6.0,0001110011100011
367,4.0,0000001001111110
368,4.0,0110011111100000
369,6.0,1011001111111101
370,8.0,1000000001010100
371,6.0,1011111001000000
372,6.0,0000100011111011
373,6.0,0011110110011100
374,10.0,0011011010010111
375,6.0,1111101110000100
376,10.0,1111010010110110
377,6.0,0000101100011111
378,8.0,1110111010001110
379,8.0,0001011110110111
380,6.0,0011111011011100
381,8.0,0000100001010010
382,6.0,0100000111000010
383,10.0,0010101100001101
384,6.0,0011001111000011
385,8.0,1100101011000111
386,8.0,0001001010010000
387,6.0,0110001100111110
388,8.0,1110010101000000
389,8.0,1100001000100010
390,4.0,0000000001010000
391,8.0,1000101000110011
392,6.0,0110000000100110
393,6.0,0010011000001000
394,6.0,1000011000100011
395,8.0,0101000011110100
396,8.0,1111001101001110
397,6.0,1000101001111111
